name,offer_url,location,stock_id,status,sleeps,slide_outs,mileage,price,horsepower
2017 WINNEBAGO FUSE 23A,/rvdetails/used-class-c-rvs/2017-winnebago-fuse-23a-rear-bath-90k-GRM2208030P,"

GrandRapids,MI
",2208030P,Used,5,1,-,92999,-
2017 WINNEBAGO FUSE 23A,/rvdetails/used-class-c-rvs/2017-winnebago-fuse-23a-rear-bath-90k-ASH2156556Z,"

Hendersonville,NC
",2156556Z,Used,5,1,18389,92995,-
2017 WINNEBAGO FUSE 23T,/rvdetails/used-class-c-rvs/2017-winnebago-fuse-23t-front-living-90k-EUG2206070P,"

Coburg,OR
",2206070P,Used,4,1,-,92499,-
2017 WINNEBAGO FUSE 23T,/rvdetails/used-class-c-rvs/2017-winnebago-fuse-23t-front-living-90k-AVO2197269P,"

Avondale,AZ
",2197269P,Used,4,1,-,93499,-
2020 THOR QUANTUM KM24,/rvdetails/used-class-c-rvs/2020-thor-quantum-km24-rear-bath-90k-FTP2117123,"

FortPierce,FL
",2117123,Used,5,1,26616,92999,-
2017 COACHMEN PRISM 2150LE,/rvdetails/used-class-c-rvs/2017-coachmen-prism-2150le-front-living-90k-TUL2145144,"

Tulsa,OK
",2145144,Used,5,1,16369,93399,-
2018 THOR FOUR WINDS 24HL,/rvdetails/used-class-c-rvs/2018-thor-four-winds-24hl-front-living-90k-FTP2193255,"

FortPierce,FL
",2193255,Used,5,2,30818,93999,-
2021 THOR COLEMAN 24EQ,/rvdetails/used-class-c-rvs/2021-thor-coleman-24eq-front-living-90k-NAS2160200,"

Nashville,TN
",2160200,Used,5,1,3282,94995,-
name,offer_url,location,stock_id,status,sleeps,slide_outs,mileage,price,horsepower
2014 TIFFIN ALLEGRO BREEZE 32BR,/rvdetails/used-class-a-diesel-rvs/2014-tiffin-allegro-breeze-32br-front-living-90k-CLB2147235,"

Alvarado,TX
",2147235,Used,-,2,42658,94499,-
2020 WINNEBAGO VITA 24P,/rvdetails/used-class-c-rvs/2020-winnebago-vita-24p-front-living-90k-HHO2205641,"

HuberHeights,OH
",2205641,Used,5,1,23498,94999,-
2017 THOR FOUR WINDS SIESTA 24SS,/rvdetails/used-class-c-rvs/2017-thor-four-winds-siesta-24ss-front-living-90k-NAS2207035,"

Nashville,TN
",2207035,Used,5,2,32793,94999,-
2017 COACHMEN PRISM 2150LE,/rvdetails/used-class-c-rvs/2017-coachmen-prism-2150le-front-living-90k-CFI2205208,"

CedarFalls,IA
",2205208,Used,5,1,-,95299,-
2019 JAYCO MELBOURNE 24K,/rvdetails/used-class-c-rvs/2019-jayco-melbourne-24k-front-living-90k-ROA2191105,"

Roanoke,VA
",2191105,Used,5,2,17689,96799,-
2014 AIRSTREAM INTERSTATE 3500 LOUNGE,/rvdetails/used-class-b-rvs/2014-airstream-interstate-3500-lounge-front-living-90k-FRE2142894P,"

Fresno,CA
",2142894P,Used,2,-,39152,95999,-
2017 THOR FOUR WINDS SIESTA 24SS,/rvdetails/used-class-c-rvs/2017-thor-four-winds-siesta-24ss-front-living-90k-PID2193936,"

Pocatello,ID
",2193936,Used,5,2,31080,95999,-
2018 THOR CHATEAU CITATION 24SR,/rvdetails/used-class-c-rvs/2018-thor-chateau-citation-24sr-front-living-90k-NRAZ2160472,"

NewRiver,AZ
",2160472,Used,5,2,41019,96999,-
2020 THOR QUANTUM CR24,/rvdetails/used-class-c-rvs/2020-thor-quantum-cr24-rear-bath-90k-KCKS2166354P,"

KansasCity,KS
",2166354P,Used,4,2,25975,96999,-
2018 THOR CHATEAU 24FS,/rvdetails/used-class-c-rvs/2018-thor-chateau-24fs-front-living-90k-DOT2193980,"

Dothan,AL
",2193980,Used,5,1,11174,96999,-
2015 FOREST RIVER SOLERA 24S,/rvdetails/used-class-c-rvs/2015-forest-river-solera-24s-front-living-90k-JAX2207921,"

Jacksonville,FL
",2207921,Used,7,1,44835,96999,-
2018 THOR CHATEAU 24WS,/rvdetails/used-class-c-rvs/2018-thor-chateau-24ws-front-living-90k-SW1000710P,"

NewBraunfels,TX
",1000710P,Used,6,1,8024,96299,-
2018 THOR GEMINI 23TR,/rvdetails/used-class-c-rvs/2018-thor-gemini-23tr-front-living-90k-OOK2196118,"

CampingWorldofOklahomaCityEast-
OklahomaCity,OK
",2196118,Used,4,1,20962,96299,-
2020 WINNEBAGO VITA 24P,/rvdetails/used-class-c-rvs/2020-winnebago-vita-24p-front-living-90k-CLB2183938,"

Alvarado,TX
",2183938,Used,5,1,-,96399,-
2017 JAYCO MELBOURNE 24K,/rvdetails/used-class-c-rvs/2017-jayco-melbourne-24k-front-living-90k-LVN2202953,"

LasVegas,NV
",2202953,Used,5,2,-,97499,-
2017 FOREST RIVER FORESTER MBS 2401W,/rvdetails/used-class-c-rvs/2017-forest-river-forester-mbs-2401w-front-living-90k-MES2206871P,"

Mesa,AZ
",2206871P,Used,5,1,8144,96999,-
2017 THOR GEMINI 23TR,/rvdetails/used-class-c-rvs/2017-thor-gemini-23tr-front-living-90k-RNV2199159P,"

CampingWorldofReno-
Reno,NV
",2199159P,Used,4,1,38524,97799,-
2020 THOR COMPASS 23TW,/rvdetails/used-class-c-rvs/2020-thor-compass-23tw-rear-bath-90k-WME2168814,"

Windham,ME
",2168814,Used,3,1,20109,97999,-
2019 THOR CHATEAU CITATION 24ST,/rvdetails/used-class-c-rvs/2019-thor-chateau-citation-24st-front-living-90k-GRW2183085P,"

Greenwood,IN
",2183085P,Used,4,1,16964,97999,-
2019 WINNEBAGO NAVION 24G,/rvdetails/used-class-c-rvs/2019-winnebago-navion-24g-front-living-90k-TUC2197149,"

Tucson,AZ
",2197149,Used,6,2,19681,97999,-
name,offer_url,location,stock_id,status,sleeps,slide_outs,mileage,price,horsepower
2018 FOREST RIVER SUNSEEKER TS 2370D,/rvdetails/used-class-c-rvs/2018-forest-river-sunseeker-ts-2370d-rear-bath-90k-WBMA2207626,"

WestBoylston,MA
",2207626,Used,2,1,28823,97999,-
